설치순위,정류소ID,정류장명,lon,lat,광고target
1,202000219,수원역.AK플라자,127.0009335,37.26745951,20대 여성
2,202000224,매산시장,127.0034063,37.26731374,20대 여성
3,202000106,수원역.AK플라자,127.0009035,37.26736535,20대 여성
4,202000208,수원역.노보텔수원,126.9996078,37.26811186,20대 여성
5,202000105,수원역.AK플라자,127.0014835,37.2649378,20대 여성
6,203000150,그대가프리미어아파트.망포역3번출구,127.0561861,37.24473018,40대 남성
7,203000123,영통역,127.0739234,37.25381212,40대 남성
8,201000022,신병원.대원.거산아파트,126.984994,37.25186522,40대 남성
9,202000030,팔달문,127.017306,37.27770284,60대 이상 남성
10,202000053,우만동4단지,127.0309214,37.29224834,40대 남성
11,202000048,2001아울렛,127.021449,37.2754202,60대 이상 남성
12,202000051,2001아울렛,127.0223714,37.27530409,60대 이상 남성
13,202000047,팔달문,127.0162585,37.27738072,60대 이상 남성
14,201000199,선일초등학교,127.0288936,37.24755833,40대 남성
15,200000204,화서역.화서주공3단지,126.9920601,37.28663549,40대 남성
16,201000052,세류역,127.0147048,37.24442836,40대 남성
17,201000202,비행장입구.세류역,127.0144093,37.2444525,40대 남성
18,200000093,KT수원지사.국민연금북수원지사,127.011444,37.29239115,60대 이상 남성
19,202000007,성빈센트병원,127.0271832,37.27710836,50대 남성
20,200000285,성균관대역.고용노동부경기지청.율전성당,126.9731982,37.30152322,40대 남성
21,200000104,성균관대역.고용노동부경기지청.율전성당,126.9732413,37.30176552,40대 남성
22,202000073,아주대입구.우리은행,127.0423849,37.27539798,40대 남성
23,203000165,경기대수원캠퍼스후문.수원박물관,127.0397929,37.29710546,40대 남성
24,203000067,아주대학교입구,127.044118,37.27595264,40대 여성
25,200000160,성균관대역,126.9713419,37.2985577,40대 남성
26,201000023,고색역.고색초교.태산아파트,126.9799297,37.25043052,40대 남성
27,200000197,우만주공4단지,127.0304022,37.29247831,40대 남성
28,203000063,삼성1차아파트,127.0410044,37.26612681,40대 남성
29,203000179,아주대삼거리,127.0447182,37.27429789,40대 남성
30,201000192,수원버스터미널,127.0216746,37.24894553,40대 남성
